held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,54.0,pp,0.000584299361894781,-0.01792349004187295,0.9414283234902914,0.0
1.0,40.0,55.0,uu,0.22795168115727502,0.19476975713521158,1.021159490475008,0.0
1.0,40.0,55.0,up,0.009703073016717792,-0.04123337722949461,-0.03437600360880379,0.0
1.0,40.0,55.0,pu,-0.009504495091147607,-0.017037698218375332,-0.03437600360880379,0.0
1.0,40.0,55.0,pp,-0.0009824649420457502,-0.0018397216751318295,0.9437986421846168,0.0
1.0,40.0,56.0,uu,0.2262458264530171,0.19218073284569911,1.0068255620608741,0.0
1.0,40.0,56.0,up,0.00928902294323802,-0.04086255407619576,-0.0409556581860588,0.0
1.0,40.0,56.0,pu,-0.009170795632267227,-0.01373808058724278,-0.0409556581860588,0.0
1.0,40.0,56.0,pp,-0.0027341614185629397,0.00921779095148129,0.9774833952242895,0.0
1.0,40.0,57.0,uu,0.22464371363856922,0.19082540515048174,0.9930007551095673,0.0
1.0,40.0,57.0,up,0.008580314932613953,-0.037776164373637296,-0.0311987915606849,0.0
1.0,40.0,57.0,pu,-0.008485107878880151,-0.005359342848588825,-0.0311987915606849,0.0
1.0,40.0,57.0,pp,-0.00443419777122617,0.023957806568989493,1.017372618814931,0.0
1.0,40.0,58.0,uu,0.22320093353545212,0.18998865709750662,0.9846733094297662,0.0
1.0,40.0,58.0,up,0.007644571105624618,-0.03264126191892832,-0.01052156912748353,0.0
1.0,40.0,58.0,pu,-0.007490415922509322,-0.0005456587974621083,-0.01052156912748353,0.0
1.0,40.0,58.0,pp,-0.0057610271200380396,0.036059489134282544,1.0317588658917982,0.0
1.0,40.0,59.0,uu,0.22195920361878355,0.1902439692370959,0.9866483494241629,0.0
1.0,40.0,59.0,up,0.006532008615076097,-0.02538326924721384,0.018995125346992433,0.0
1.0,40.0,59.0,pu,-0.006272107922322661,0.0031032885126297733,0.018995125346992433,0.0
